experiment	score	best	kept	mutations
65	72.5200	72.5200	True	quality_weight_relevance: 0.15 -> 0.114; quality_weight_coherence: 0.144 -> 0.174; quality_weight_meaningfulness: 0.15 -> 0.206
66	72.5200	72.5200	True	quality_weight_relevance: 0.15 -> 0.185
67	72.5200	72.5200	True	quality_weight_relevance: 0.15 -> 0.222; quality_weight_surah_diversity: 0.15 -> 0.227; quality_weight_meaningfulness: 0.15 -> 0.067
68	72.5200	72.5200	True	quality_weight_coherence: 0.144 -> 0.23; quality_weight_surah_diversity: 0.15 -> 0.082; quality_weight_relevance: 0.15 -> 0.085
69	72.3200	72.5200	False	min_quality_for_graph: 75 -> 65; quality_weight_specificity: 0.2 -> 0.149; min_insight_support: 2 -> 4
70	72.5200	72.5200	True	quality_weight_coherence: 0.144 -> 0.243
71	72.3200	72.5200	False	quality_weight_relevance: 0.15 -> 0.234; min_quality_for_graph: 75 -> 65
72	72.5200	72.5200	True	quality_weight_surah_diversity: 0.15 -> 0.1
73	72.5200	72.5200	True	quality_weight_meaningfulness: 0.15 -> 0.244; quality_weight_rule_bonus: 0.15 -> 0.212
74	72.3200	72.5200	False	min_insight_support: 2 -> 4; min_quality_for_graph: 75 -> 65
75	72.5200	72.5200	True	quality_weight_relevance: 0.15 -> 0.115; quality_weight_specificity: 0.2 -> 0.24; quality_weight_surah_diversity: 0.15 -> 0.061
76	72.5200	72.5200	True	quality_weight_rule_bonus: 0.15 -> 0.241; quality_weight_meaningfulness: 0.15 -> 0.221
77	72.5200	72.5200	True	quality_weight_surah_diversity: 0.15 -> 0.087; quality_weight_rule_bonus: 0.15 -> 0.071
78	72.5200	72.5200	True	quality_weight_rule_bonus: 0.15 -> 0.204; quality_weight_specificity: 0.2 -> 0.286; quality_weight_coherence: 0.144 -> 0.233
79	72.5200	72.5200	True	quality_weight_meaningfulness: 0.15 -> 0.119
80	72.5200	72.5200	True	quality_weight_relevance: 0.15 -> 0.056; quality_weight_specificity: 0.2 -> 0.107
81	72.5200	72.5200	True	quality_weight_coherence: 0.144 -> 0.115
82	72.3300	72.5200	False	quality_weight_specificity: 0.2 -> 0.122; min_quality_for_graph: 75 -> 80; quality_weight_rule_bonus: 0.15 -> 0.237
83	72.5200	72.5200	True	quality_weight_meaningfulness: 0.15 -> 0.073
84	72.3200	72.5200	False	min_quality_for_graph: 75 -> 65; quality_weight_surah_diversity: 0.15 -> 0.214; quality_weight_specificity: 0.2 -> 0.252
85	72.5200	72.5200	True	min_insight_support: 2 -> 2
86	72.5200	72.5200	True	quality_weight_relevance: 0.15 -> 0.073; quality_weight_surah_diversity: 0.15 -> 0.082
87	72.6000	72.6000	True	min_quality_for_insights: 50 -> 40; quality_weight_coherence: 0.144 -> 0.064
88	72.3300	72.6000	False	min_quality_for_graph: 75 -> 80; min_quality_for_insights: 40 -> 45; quality_weight_rule_bonus: 0.15 -> 0.224
89	72.6000	72.6000	True	quality_weight_surah_diversity: 0.15 -> 0.244
90	72.6000	72.6000	True	quality_weight_surah_diversity: 0.15 -> 0.076
91	72.6000	72.6000	True	quality_weight_rule_bonus: 0.15 -> 0.106
92	72.5200	72.6000	False	quality_weight_specificity: 0.2 -> 0.16; min_quality_for_insights: 40 -> 45
93	72.5500	72.6000	False	quality_weight_surah_diversity: 0.15 -> 0.093; min_quality_for_graph: 75 -> 70
94	72.6000	72.6000	True	min_insight_support: 2 -> 2; quality_weight_surah_diversity: 0.15 -> 0.224
95	72.6000	72.6000	True	quality_weight_specificity: 0.2 -> 0.282; quality_weight_surah_diversity: 0.15 -> 0.111
96	72.6000	72.6000	True	min_insight_support: 2 -> 4
97	72.5500	72.6000	False	quality_weight_relevance: 0.15 -> 0.218; min_quality_for_graph: 75 -> 70
98	72.6000	72.6000	True	quality_weight_meaningfulness: 0.15 -> 0.069
99	72.5500	72.6000	False	min_quality_for_graph: 75 -> 70; min_quality_for_insights: 40 -> 40; quality_weight_surah_diversity: 0.15 -> 0.085
100	72.6000	72.6000	True	quality_weight_coherence: 0.064 -> 0.05; quality_weight_rule_bonus: 0.15 -> 0.075; min_insight_support: 2 -> 2
1	69.9700	69.9700	True	quality_weight_rule_bonus: 0.15 -> 0.213
2	69.9700	69.9700	True	quality_weight_meaningfulness: 0.15 -> 0.179; quality_weight_relevance: 0.15 -> 0.071; min_insight_support: 2 -> 3
3	70.0500	70.0500	True	min_quality_for_insights: 55 -> 50; quality_weight_specificity: 0.2 -> 0.297
4	70.0500	70.0500	True	quality_weight_surah_diversity: 0.15 -> 0.087
5	70.0500	70.0500	True	quality_weight_coherence: 0.2 -> 0.127
6	70.0500	70.0500	True	min_insight_support: 2 -> 3
7	70.0500	70.0500	True	quality_weight_specificity: 0.297 -> 0.362
8	70.4400	70.4400	True	min_quality_for_graph: 50 -> 45; min_quality_for_insights: 50 -> 40
9	70.4400	70.4400	True	quality_weight_meaningfulness: 0.15 -> 0.099
10	70.4400	70.4400	True	quality_weight_coherence: 0.2 -> 0.169
11	70.4400	70.4400	True	quality_weight_rule_bonus: 0.15 -> 0.176
12	70.4400	70.4400	True	quality_weight_specificity: 0.297 -> 0.383; quality_weight_meaningfulness: 0.15 -> 0.196; quality_weight_surah_diversity: 0.15 -> 0.194
13	69.9900	70.4400	False	min_quality_for_insights: 40 -> 45; quality_weight_coherence: 0.2 -> 0.113
14	70.4400	70.4400	True	quality_weight_coherence: 0.2 -> 0.162; quality_weight_surah_diversity: 0.15 -> 0.053; quality_weight_meaningfulness: 0.15 -> 0.231
15	70.4400	70.4400	True	quality_weight_meaningfulness: 0.15 -> 0.104
16	70.4400	70.4400	True	min_insight_support: 2 -> 3; quality_weight_coherence: 0.2 -> 0.106
17	70.4400	70.4400	True	quality_weight_relevance: 0.15 -> 0.098; quality_weight_surah_diversity: 0.15 -> 0.123
18	70.4400	70.4400	True	min_quality_for_insights: 40 -> 40; quality_weight_surah_diversity: 0.15 -> 0.19
19	69.9900	70.4400	False	quality_weight_meaningfulness: 0.15 -> 0.206; quality_weight_surah_diversity: 0.15 -> 0.058; min_quality_for_insights: 40 -> 45
20	70.2100	70.4400	False	min_quality_for_graph: 45 -> 35; quality_weight_relevance: 0.15 -> 0.092
21	70.2100	70.4400	False	min_quality_for_graph: 45 -> 35
22	70.4400	70.4400	True	min_insight_support: 2 -> 3; quality_weight_rule_bonus: 0.15 -> 0.215
23	70.2100	70.4400	False	min_insight_support: 2 -> 3; min_quality_for_graph: 45 -> 35
24	70.4400	70.4400	True	quality_weight_relevance: 0.15 -> 0.192; quality_weight_coherence: 0.2 -> 0.29; min_insight_support: 2 -> 3
25	70.5000	70.5000	True	min_quality_for_graph: 45 -> 50
26	70.5100	70.5100	True	quality_weight_surah_diversity: 0.15 -> 0.106; min_quality_for_graph: 50 -> 55
27	70.5100	70.5100	True	min_insight_support: 2 -> 2; quality_weight_specificity: 0.297 -> 0.25
28	70.5100	70.5100	True	quality_weight_relevance: 0.15 -> 0.086
29	70.0600	70.5100	False	quality_weight_meaningfulness: 0.15 -> 0.25; min_quality_for_insights: 40 -> 50
30	70.5100	70.5100	True	quality_weight_relevance: 0.15 -> 0.124; quality_weight_meaningfulness: 0.15 -> 0.079
31	70.5100	70.5100	True	quality_weight_coherence: 0.2 -> 0.154; quality_weight_surah_diversity: 0.106 -> 0.197
32	70.4400	70.5100	False	min_quality_for_graph: 55 -> 45
33	70.5100	70.5100	True	quality_weight_rule_bonus: 0.15 -> 0.101
34	70.5800	70.5800	True	quality_weight_meaningfulness: 0.15 -> 0.218; min_quality_for_graph: 55 -> 65
35	70.5800	70.5800	True	quality_weight_surah_diversity: 0.106 -> 0.189; quality_weight_coherence: 0.2 -> 0.234
36	70.5800	70.5800	True	quality_weight_specificity: 0.297 -> 0.204; quality_weight_rule_bonus: 0.15 -> 0.212
37	70.1300	70.5800	False	min_quality_for_insights: 40 -> 45
38	70.5800	70.5800	True	quality_weight_relevance: 0.15 -> 0.06
39	70.5800	70.5800	True	quality_weight_relevance: 0.15 -> 0.117; quality_weight_surah_diversity: 0.106 -> 0.05
40	70.5800	70.5800	True	min_insight_support: 2 -> 4; quality_weight_coherence: 0.2 -> 0.165
41	70.1300	70.5800	False	min_quality_for_insights: 40 -> 50
42	70.5800	70.5800	True	quality_weight_rule_bonus: 0.15 -> 0.099; quality_weight_relevance: 0.15 -> 0.204
43	70.5800	70.5800	True	min_insight_support: 2 -> 2; quality_weight_surah_diversity: 0.106 -> 0.147
44	70.5800	70.5800	True	quality_weight_relevance: 0.15 -> 0.092; min_insight_support: 2 -> 2; quality_weight_rule_bonus: 0.15 -> 0.206
45	70.5100	70.5800	False	quality_weight_rule_bonus: 0.15 -> 0.211; min_quality_for_graph: 65 -> 55
46	70.5800	70.5800	True	min_insight_support: 2 -> 2
47	70.5800	70.5800	True	quality_weight_rule_bonus: 0.15 -> 0.206
48	70.5100	70.5800	False	min_quality_for_graph: 65 -> 55; quality_weight_surah_diversity: 0.106 -> 0.055
49	70.5800	70.5800	True	quality_weight_meaningfulness: 0.218 -> 0.184
50	70.5800	70.5800	True	quality_weight_meaningfulness: 0.218 -> 0.263; quality_weight_rule_bonus: 0.15 -> 0.099
51	70.5800	70.5800	True	quality_weight_coherence: 0.2 -> 0.162; quality_weight_rule_bonus: 0.15 -> 0.084
52	70.5800	70.5800	True	min_insight_support: 2 -> 2; quality_weight_coherence: 0.2 -> 0.124
53	70.5800	70.5800	True	quality_weight_coherence: 0.2 -> 0.268
54	70.5800	70.5800	True	quality_weight_surah_diversity: 0.106 -> 0.136; quality_weight_meaningfulness: 0.218 -> 0.165; quality_weight_specificity: 0.297 -> 0.386
55	70.5400	70.5800	False	min_quality_for_graph: 65 -> 60; min_insight_support: 2 -> 4; quality_weight_coherence: 0.2 -> 0.166
56	70.5800	70.5800	True	quality_weight_surah_diversity: 0.106 -> 0.05
57	70.5800	70.5800	True	quality_weight_rule_bonus: 0.15 -> 0.089; min_quality_for_insights: 40 -> 40
58	70.1300	70.5800	False	quality_weight_coherence: 0.2 -> 0.111; min_quality_for_insights: 40 -> 50; quality_weight_relevance: 0.15 -> 0.119
59	70.5400	70.5800	False	min_quality_for_graph: 65 -> 60; quality_weight_meaningfulness: 0.218 -> 0.159
60	70.5800	70.5800	True	min_insight_support: 2 -> 2
61	70.5800	70.5800	True	quality_weight_coherence: 0.2 -> 0.259; quality_weight_meaningfulness: 0.218 -> 0.174; quality_weight_relevance: 0.15 -> 0.248
62	70.5400	70.5800	False	quality_weight_surah_diversity: 0.106 -> 0.187; min_quality_for_graph: 65 -> 60
63	70.5800	70.5800	True	quality_weight_coherence: 0.2 -> 0.258; min_quality_for_insights: 40 -> 40
64	70.5800	70.5800	True	quality_weight_surah_diversity: 0.106 -> 0.163; quality_weight_specificity: 0.297 -> 0.334
65	70.5800	70.5800	True	quality_weight_surah_diversity: 0.106 -> 0.175; quality_weight_coherence: 0.2 -> 0.274; quality_weight_rule_bonus: 0.15 -> 0.227
66	70.5800	70.5800	True	quality_weight_meaningfulness: 0.218 -> 0.274
67	70.5800	70.5800	True	quality_weight_specificity: 0.297 -> 0.373
68	70.5800	70.5800	True	quality_weight_relevance: 0.15 -> 0.22; quality_weight_surah_diversity: 0.106 -> 0.05; quality_weight_specificity: 0.297 -> 0.339
69	70.5800	70.5800	True	quality_weight_relevance: 0.15 -> 0.065; min_insight_support: 2 -> 3
70	70.5400	70.5800	False	min_insight_support: 2 -> 2; min_quality_for_graph: 65 -> 60
71	70.5400	70.5800	False	min_quality_for_graph: 65 -> 60
72	70.5800	70.5800	True	min_quality_for_insights: 40 -> 40
73	70.5800	70.5800	True	quality_weight_coherence: 0.2 -> 0.273
74	70.5800	70.5800	True	quality_weight_surah_diversity: 0.106 -> 0.204; quality_weight_specificity: 0.297 -> 0.384
75	70.5800	70.5800	True	quality_weight_coherence: 0.2 -> 0.232; quality_weight_specificity: 0.297 -> 0.393; min_quality_for_insights: 40 -> 40
76	70.5800	70.5800	True	quality_weight_relevance: 0.15 -> 0.183
77	70.5800	70.5800	True	quality_weight_relevance: 0.15 -> 0.238
78	70.5800	70.5800	True	quality_weight_specificity: 0.297 -> 0.395; quality_weight_meaningfulness: 0.218 -> 0.298
79	70.5800	70.5800	True	min_insight_support: 2 -> 3; quality_weight_meaningfulness: 0.218 -> 0.275
80	70.5800	70.5800	True	quality_weight_relevance: 0.15 -> 0.112
81	70.7700	70.7700	True	min_insight_support: 2 -> 4; quality_weight_relevance: 0.15 -> 0.241; min_quality_for_graph: 65 -> 75
82	70.7700	70.7700	True	quality_weight_specificity: 0.297 -> 0.362
83	70.7700	70.7700	True	quality_weight_rule_bonus: 0.15 -> 0.108
84	70.7700	70.7700	True	quality_weight_specificity: 0.297 -> 0.363
85	70.7700	70.7700	True	quality_weight_rule_bonus: 0.15 -> 0.223; quality_weight_relevance: 0.241 -> 0.3
86	70.0100	70.7700	False	quality_weight_coherence: 0.2 -> 0.247; min_quality_for_graph: 75 -> 80
87	70.3200	70.7700	False	quality_weight_relevance: 0.241 -> 0.282; min_quality_for_insights: 40 -> 45; quality_weight_meaningfulness: 0.218 -> 0.123
88	70.7700	70.7700	True	quality_weight_relevance: 0.241 -> 0.193
89	70.7700	70.7700	True	quality_weight_coherence: 0.2 -> 0.122
90	70.7700	70.7700	True	quality_weight_meaningfulness: 0.218 -> 0.191; quality_weight_rule_bonus: 0.15 -> 0.25; quality_weight_coherence: 0.2 -> 0.26
91	70.7700	70.7700	True	quality_weight_specificity: 0.297 -> 0.37
92	70.5800	70.7700	False	min_quality_for_graph: 75 -> 65
93	70.6600	70.7700	False	quality_weight_meaningfulness: 0.218 -> 0.124; quality_weight_relevance: 0.241 -> 0.149; min_quality_for_graph: 75 -> 70
94	70.5800	70.7700	False	quality_weight_relevance: 0.241 -> 0.181; min_quality_for_graph: 75 -> 65
95	70.0100	70.7700	False	quality_weight_coherence: 0.2 -> 0.127; min_insight_support: 4 -> 3; min_quality_for_graph: 75 -> 80
96	70.3200	70.7700	False	min_quality_for_insights: 40 -> 50
97	70.7700	70.7700	True	quality_weight_meaningfulness: 0.218 -> 0.244
98	70.7700	70.7700	True	min_insight_support: 4 -> 6; quality_weight_specificity: 0.297 -> 0.204
99	70.7700	70.7700	True	min_quality_for_insights: 40 -> 40; quality_weight_rule_bonus: 0.15 -> 0.109
100	70.7700	70.7700	True	quality_weight_surah_diversity: 0.106 -> 0.177; quality_weight_meaningfulness: 0.218 -> 0.246; quality_weight_rule_bonus: 0.15 -> 0.208
1	68.9100	68.9100	True	quality_weight_rule_bonus: 0.15 -> 0.12; quality_weight_coherence: 0.2 -> 0.137; min_quality_for_graph: 50 -> 60
2	68.9100	68.9100	True	quality_weight_meaningfulness: 0.15 -> 0.077
3	68.9100	68.9100	True	quality_weight_relevance: 0.15 -> 0.084
4	68.9100	68.9100	True	quality_weight_surah_diversity: 0.15 -> 0.198
5	68.9100	68.9100	True	min_insight_support: 2 -> 2; quality_weight_coherence: 0.137 -> 0.101
6	68.9300	68.9300	True	quality_weight_relevance: 0.15 -> 0.106; min_quality_for_graph: 60 -> 65
7	68.9300	68.9300	True	quality_weight_surah_diversity: 0.15 -> 0.203
8	69.0500	69.0500	True	min_quality_for_graph: 65 -> 70
9	68.9100	69.0500	False	quality_weight_surah_diversity: 0.15 -> 0.07; min_quality_for_graph: 70 -> 60; quality_weight_relevance: 0.106 -> 0.143
10	69.0500	69.0500	True	quality_weight_specificity: 0.2 -> 0.269; quality_weight_surah_diversity: 0.15 -> 0.175
11	69.0500	69.0500	True	quality_weight_coherence: 0.137 -> 0.093; quality_weight_meaningfulness: 0.15 -> 0.114
12	68.8600	69.0500	False	min_quality_for_graph: 70 -> 80
13	68.9300	69.0500	False	min_quality_for_graph: 70 -> 65
14	69.0500	69.0500	True	min_insight_support: 2 -> 4; quality_weight_meaningfulness: 0.15 -> 0.217
15	69.1000	69.1000	True	min_quality_for_insights: 55 -> 50; quality_weight_relevance: 0.106 -> 0.05
16	69.1000	69.1000	True	quality_weight_coherence: 0.137 -> 0.111; quality_weight_specificity: 0.2 -> 0.237
